timestamp,market_id,market_name,bet_id,bet_name,back_price,back_size,lay_price,lay_size
2024-10-30T17:49:34.536708+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58601.47,1.57,34276.26
2024-10-30T17:49:34.536738+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,9122.45,2.8,12284.38
2024-10-30T17:50:22.472237+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58571.47,1.57,34276.26
2024-10-30T17:50:22.472277+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,8959.91,2.8,12284.38
2024-10-30T17:51:22.654827+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58571.47,1.57,34276.26
2024-10-30T17:51:22.654862+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,7760.33,2.8,12246.6
2024-10-30T17:52:22.810919+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58571.47,1.57,34276.26
2024-10-30T17:52:22.810950+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,7760.33,2.8,12246.6
2024-10-30T17:53:22.984473+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58566.47,1.57,34261.26
2024-10-30T17:53:22.984523+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,7760.33,2.8,12217.5
2024-10-30T17:54:23.167531+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58566.47,1.57,34265.26
2024-10-30T17:54:23.167576+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,7760.33,2.8,12217.5
2024-10-30T17:55:23.328664+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,58561.47,1.57,34287.39
2024-10-30T17:55:23.328700+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,7740.33,2.8,12119.29
2024-10-30T17:56:23.479974+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57636.47,1.57,34282.39
2024-10-30T17:56:23.480019+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12741.33,2.8,12119.29
2024-10-30T17:57:23.737042+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57651.47,1.57,34282.39
2024-10-30T17:57:23.737087+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12741.33,2.8,12119.29
2024-10-30T17:58:23.904926+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57636.47,1.57,34282.39
2024-10-30T17:58:23.904974+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12591.33,2.8,12119.29
2024-10-30T17:59:24.061830+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57183.46,1.57,33547.76
2024-10-30T17:59:24.061890+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12449.61,2.8,12119.29
2024-10-30T18:00:24.212579+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57183.46,1.57,33551.76
2024-10-30T18:00:24.212620+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12455.61,2.8,12119.29
2024-10-30T18:01:24.377812+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57184.51,1.57,33534.76
2024-10-30T18:01:24.377858+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12435.28,2.8,12119.29
2024-10-30T18:02:24.543435+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57174.48,1.57,33524.72
2024-10-30T18:02:24.543468+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12428.59,2.8,12114.26
2024-10-30T18:03:24.698617+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57174.48,1.57,33524.72
2024-10-30T18:03:24.698654+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12153.58,2.8,12114.26
2024-10-30T18:04:24.864619+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57174.48,1.57,33524.72
2024-10-30T18:04:24.864681+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12423.59,2.8,12114.26
2024-10-30T18:05:25.020186+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57174.48,1.57,33524.72
2024-10-30T18:05:25.020239+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12418.59,2.8,12114.26
2024-10-30T18:06:25.168331+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,47174.48,1.57,43524.72
2024-10-30T18:06:25.168368+00:00,1.176878927,Election Winner,12126964,Kamala Harris,2.78,12067.58,2.8,11731.23
2024-10-30T18:07:25.356185+00:00,1.176878927,Election Winner,10874213,Donald Trump,1.56,57174.48,1.57,43524.72
